Linux 2.6.32-504.el6.x86_64 (hp440srv) 	07/06/17 	_x86_64_	(16 CPU)

15:36:18        CPU     %user     %nice   %system   %iowait    %steal     %idle
15:36:23        all      2.53      0.00      0.25      0.00      0.00     97.22
15:36:23          0      3.82      0.00      0.40      0.00      0.00     95.78
15:36:23          1      3.61      0.00      0.60      0.00      0.00     95.78
15:36:23          2      4.41      0.00      0.20      0.00      0.00     95.39
15:36:23          3      2.81      0.00      0.20      0.00      0.00     96.99
15:36:23          4      2.80      0.00      0.20      0.00      0.00     97.00
15:36:23          5      2.40      0.00      0.20      0.00      0.00     97.39
15:36:23          6      2.20      0.00      0.20      0.00      0.00     97.60
15:36:23          7      2.20      0.00      0.20      0.00      0.00     97.60
15:36:23          8      3.41      0.00      0.20      0.00      0.00     96.39
15:36:23          9      3.22      0.00      0.20      0.00      0.00     96.58
15:36:23         10      3.01      0.00      0.20      0.00      0.00     96.79
15:36:23         11      2.40      0.00      0.20      0.00      0.00     97.39
15:36:23         12      0.40      0.00      0.20      0.00      0.00     99.40
15:36:23         13      2.00      0.00      0.20      0.00      0.00     97.80
15:36:23         14      1.60      0.00      0.20      0.00      0.00     98.20
15:36:23         15      0.40      0.00      0.00      0.00      0.00     99.60
15:36:28        all      2.17      0.00      0.59      0.00      0.00     97.25
15:36:28          0      3.82      0.00      0.40      0.00      0.00     95.78
15:36:28          1      2.20      0.00      0.80      0.00      0.00     96.99
15:36:28          2      1.20      0.00      0.40      0.00      0.00     98.40
15:36:28          3      1.41      0.00      0.20      0.00      0.00     98.39
15:36:28          4      1.60      0.00      0.20      0.00      0.00     98.20
15:36:28          5      2.00      0.00      0.20      0.00      0.00     97.80
15:36:28          6      1.40      0.00      0.20      0.00      0.00     98.40
15:36:28          7      0.60      0.00      0.20      0.00      0.00     99.20
15:36:28          8      7.43      0.00      5.42      0.00      0.00     87.15
15:36:28          9      2.40      0.00      0.40      0.00      0.00     97.20
15:36:28         10      2.00      0.00      0.20      0.00      0.00     97.80
15:36:28         11      1.80      0.00      0.20      0.00      0.00     98.00
15:36:28         12      2.00      0.00      0.20      0.00      0.00     97.80
15:36:28         13      1.20      0.00      0.20      0.00      0.00     98.60
15:36:28         14      2.20      0.00      0.00      0.00      0.00     97.80
15:36:28         15      1.20      0.00      0.20      0.00      0.00     98.60
15:36:33        all      1.09      0.00      0.31      0.00      0.00     98.60
15:36:33          0      2.01      0.00      0.60      0.00      0.00     97.38
15:36:33          1      1.80      0.00      0.80      0.00      0.00     97.39
15:36:33          2      1.20      0.00      0.20      0.00      0.00     98.59
15:36:33          3      0.80      0.00      0.20      0.00      0.00     99.00
15:36:33          4      0.80      0.00      0.20      0.00      0.00     99.00
