Linux 2.6.32-504.el6.x86_64 (hp440srv) 	07/06/17 	_x86_64_	(16 CPU)

15:35:03          tps      rtps      wtps   bread/s   bwrtn/s
15:35:08         6.81      0.00      6.81      0.00    107.41
15:35:13         9.46      0.00      9.46      0.00    160.97
15:35:18        10.24      0.00     10.24      0.00    142.97
15:35:23         7.03      0.00      7.03      0.00    115.66
15:35:28        13.63      0.00     13.63      0.00    226.05
Average:         9.43      0.00      9.43      0.00    150.62

15:35:03          DEV       tps  rd_sec/s  wr_sec/s  avgrq-sz  avgqu-sz     await     svctm     %util
15:35:08          sdb      1.80      0.00     22.44     12.44      0.00      0.00      0.00      0.00
15:35:08          sda      5.01      0.00     84.97     16.96      0.00      0.00      0.00      0.00
15:35:13          sdb      1.41      0.00     16.10     11.43      0.00      0.86      0.43      0.06
15:35:13          sda      8.05      0.00    144.87     18.00      0.00      0.03      0.03      0.02
15:35:18          sdb      1.41      0.00     17.67     12.57      0.00      0.00      0.00      0.00
15:35:18          sda      8.84      0.00    125.30     14.18      0.00      0.07      0.05      0.04
15:35:23          sdb      0.40      0.00      3.21      8.00      0.00      3.00      1.50      0.06
15:35:23          sda      6.63      0.00    112.45     16.97      0.00      0.03      0.03      0.02
15:35:28          sdb      1.60      0.00     28.86     18.00      0.00      0.00      0.00      0.00
15:35:28          sda     12.02      0.00    197.19     16.40      0.00      0.08      0.02      0.02
Average:          sdb      1.32      0.00     17.66     13.33      0.00      0.36      0.18      0.02
Average:          sda      8.11      0.00    132.96     16.40      0.00      0.05      0.02      0.02
