Linux 2.6.32-504.el6.x86_64 (hp440srv) 	07/06/17 	_x86_64_	(16 CPU)

15:35:28        IFACE   rxpck/s   txpck/s    rxkB/s    txkB/s   rxcmp/s   txcmp/s  rxmcst/s
15:35:33           lo     79.88     79.88     90.31     90.31      0.00      0.00      0.00
15:35:33         eth0     84.71      0.00     12.35      0.00      0.00      0.00      5.63
15:35:33         eth1    103.22     37.83     21.26     26.61      0.00      0.00      5.63
15:35:33         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:33         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:33        bond0    187.93     37.83     33.61     26.61      0.00      0.00     11.27
15:35:38           lo     55.82     55.82     53.26     53.26      0.00      0.00      0.00
15:35:38         eth0     55.82      0.00      7.64      0.00      0.00      0.00      4.62
15:35:38         eth1     66.27     25.30     12.46     15.29      0.00      0.00      4.62
15:35:38         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:38         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:38        bond0    122.09     25.30     20.11     15.29      0.00      0.00      9.24
15:35:43           lo    164.39    164.39    117.89    117.89      0.00      0.00      0.00
15:35:43         eth0     52.31      0.00      8.17      0.00      0.00      0.00      6.44
15:35:43         eth1     69.62     33.00     15.11     18.84      0.00      0.00      6.24
15:35:43         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:43         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:43        bond0    121.93     33.00     23.29     18.84      0.00      0.00     12.68
15:35:48           lo    100.60    100.60     63.16     63.16      0.00      0.00      0.00
15:35:48         eth0     60.24      0.00      8.10      0.00      0.00      0.00      6.83
15:35:48         eth1     84.74     45.98     17.27     24.51      0.00      0.00      6.83
15:35:48         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:48         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:48        bond0    144.98     45.98     25.36     24.51      0.00      0.00     13.65
15:35:53           lo    120.93    120.93     97.21     97.21      0.00      0.00      0.00
15:35:53         eth0     56.54      0.00      8.07      0.00      0.00      0.00      5.23
15:35:53         eth1     90.95     56.14     18.35     23.41      0.00      0.00      5.23
15:35:53         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:53         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
15:35:53        bond0    147.48     56.14     26.41     23.41      0.00      0.00     10.46
Average:           lo    104.30    104.30     84.35     84.35      0.00      0.00      0.00
Average:         eth0     61.92      0.00      8.86      0.00      0.00      0.00      5.75
Average:         eth1     82.95     39.65     16.89     21.73      0.00      0.00      5.71
Average:         eth2      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:         eth3      0.00      0.00      0.00      0.00      0.00      0.00      0.00
Average:        bond0    144.87     39.65     25.75     21.73      0.00      0.00     11.46
