
SunOS mx697zn 5.10 Generic_Virtual sun4v    07/06/2017

09:12:15   device        %busy   avque   r+w/s  blks/s  avwait  avserv

09:12:20   fp0               0     0.0      14     168     0.0     0.6
           fp1               0     0.0      14     146     0.0     0.9
           iscsi0            0     0.0       0       0     0.0     0.0
           mpt_sas1          0     0.0       0       0     0.0     0.0
           mpt_sas2          0     0.0       0       0     0.0     0.0
           mpt_sas3          0     0.0       0       0     0.0     0.0
           mpt_sas4          0     0.0       0       0     0.0     0.0
           mpt_sas5          0     0.0       0       0     0.0     0.0
           mpt_sas6          0     0.0       0       0     0.0     0.0
           mpt_sas7          0     0.0       0       0     0.0     0.0
           mpt_sas8          0     0.0       0       0     0.0     0.0
           mpt_sas9          0     0.0       0       0     0.0     0.3
           scsi_vhc          0     0.0       0       0     0.0     0.0
           sd3.t1.m          0     0.0       0       0     0.0     0.0
           sd4.t2.m          0     0.0       0       0     0.0     0.0
           sd5.t4.m          0     0.0       0       0     0.0     0.0
           sd6.t3.m          0     0.0       0       0     0.0     0.0
           sd7.t9.m          0     0.0       0       0     0.0     0.0
           sd8.t10.          0     0.0       0       0     0.0     0.0
           ssd135.t          0     0.0       7      61     0.0     0.0
           ssd135.t          0     0.0       7      98     0.0     0.0
           ssd136.t          0     0.0       7     100     0.0     0.0
           ssd136.t          0     0.0       7      48     0.0     0.0
           ssd137.t          0     0.0       0       0     0.0     0.0
           ssd137.t          0     0.0       0       0     0.0     0.0
           ssd138.t          0     0.0       0       3     0.0     0.0
           ssd138.t          0     0.0       0       0     0.0     0.0
           ssd139.t          0     0.0       0       3     0.0     0.0
           ssd139.t          0     0.0       0       0     0.0     0.0
           ssd140.t          0     0.0       0       0     0.0     0.0
           ssd140.t          0     0.0       0       0     0.0     0.0
           ssd141.t          0     0.0       0       0     0.0     0.0
           ssd141.t          0     0.0       0       0     0.0     0.0
           nfs90             0     0.0       0       0     0.0     0.0
           nfs91             0     0.0       0       0     0.0     0.0
           nfs92             0     0.0       0       0     0.0     0.0
           nfs93             0     0.0       0       0     0.0     0.0
           nfs94             0     0.0       0       0     0.0     0.0
           nfs95             0     0.0       0       0     0.0     0.0
           nfs96             0     0.0       0       0     0.0     0.0
           nfs97             0     0.0       0       0     0.0     0.0
           sd3               0     0.0       0       0     0.0     0.0
           sd3,a             0     0.0       0       0     0.0     0.0
           sd3,h             0     0.0       0       0     0.0     0.0
           sd4               0     0.0       0       0     0.0     0.0
           sd4,a             0     0.0       0       0     0.0     0.0
           sd4,h             0     0.0       0       0     0.0     0.0
           sd5               0     0.0       0       0     0.0     0.0
           sd5,a             0     0.0       0       0     0.0     0.0
           sd5,h             0     0.0       0       0     0.0     0.0
           sd6               0     0.0       0       0     0.0     0.0
           sd6,a             0     0.0       0       0     0.0     0.0
           sd6,h             0     0.0       0       0     0.0     0.0
           sd7               0     0.0       0       0     0.0     0.0
           sd7,a             0     0.0       0       0     0.0     0.0
           sd7,h             0     0.0       0       0     0.0     0.0
           sd8               0     0.0       0       0     0.0     0.0
           sd8,a             0     0.0       0       0     0.0     0.0
           sd8,h             0     0.0       0       0     0.0     0.0
           sd9               0     0.0       0       0     0.0     0.0
           ssd135            0     0.0      14     160     0.0     0.6
           ssd135,a          0     0.0      14     160     0.0     0.6
           ssd135,h          0     0.0       0       0     0.0     0.0
           ssd136            0     0.0      14     148     0.0     0.9
           ssd136,a          0     0.0      14     148     0.0     0.9
           ssd136,h          0     0.0       0       0     0.0     0.0
           ssd137            0     0.0       0       0     0.0     0.0
           ssd137,a          0     0.0       0       0     0.0     0.0
           ssd137,h          0     0.0       0       0     0.0     0.0
           ssd138            0     0.0       0       3     0.0     0.5
           ssd138,a          0     0.0       0       3     0.0     0.5
           ssd138,h          0     0.0       0       0     0.0     0.0
           ssd139            0     0.0       0       3     0.0     0.6
           ssd139,a          0     0.0       0       3     0.0     0.6
           ssd139,h          0     0.0       0       0     0.0     0.0
           ssd140            0     0.0       0       0     0.0     0.0
           ssd140,a          0     0.0       0       0     0.0     0.0
           ssd140,h          0     0.0       0       0     0.0     0.0
           ssd141            0     0.0       0       0     0.0     0.0
           ssd141,a          0     0.0       0       0     0.0     0.0
           ssd141,h          0     0.0       0       0     0.0     0.0
           xhci0,bu          0     0.0       0       0     0.0     0.0
           xhci0,ct          0     0.0       0       0     0.0     0.0
           xhci0,in          0     0.0       0       0     0.0     0.0
           xhci0,is          0     0.0       0       0     0.0     0.0
           xhci0,to          0     0.0       0       0     0.0     0.0

09:12:25   fp0               9     0.3      62    1733     0.0     4.2
           fp1               8     0.2      62    1914     0.0     4.0
           iscsi0            0     0.0       0       0     0.0     0.0
           mpt_sas1          0     0.0       0       0     0.0     0.0
           mpt_sas2          0     0.0       0       0     0.0     0.1
           mpt_sas3          0     0.0       0       0     0.0     0.0
           mpt_sas4          0     0.0       0       0     0.0     0.0
           mpt_sas5          0     0.0       0       0     0.0     0.0
           mpt_sas6          0     0.0       0       0     0.0     0.0
           mpt_sas7          0     0.0       0       0     0.0     0.0
           mpt_sas8          0     0.0       0       0     0.0     0.0
           mpt_sas9          0     0.0       0       0     0.0     0.4
           scsi_vhc          0     0.0       0       0     0.0     0.0
           sd3.t1.m          0     0.0       0       0     0.0     0.0
           sd4.t2.m          0     0.0       0       0     0.0     0.0
           sd5.t4.m          0     0.0       0       0     0.0     0.0
           sd6.t3.m          0     0.0       0       0     0.0     0.0
           sd7.t9.m          0     0.0       0       0     0.0     0.0
           sd8.t10.          0     0.0       0       0     0.0     0.0
           ssd135.t          0     0.0       7     116     0.0     0.0
           ssd135.t          0     0.0       7     426     0.0     0.0
           ssd136.t          0     0.0      11     280     0.0     0.0
           ssd136.t          0     0.0      12     242     0.0     0.0
           ssd137.t          0     0.0      15     723     0.0     0.0
           ssd137.t          0     0.0      15     324     0.0     0.0
           ssd138.t          0     0.0       7     282     0.0     0.0
           ssd138.t          0     0.0       8      80     0.0     0.0
           ssd139.t          0     0.0      13     282     0.0     0.0
           ssd139.t          0     0.0      13     746     0.0     0.0
           ssd140.t          0     0.0       7      50     0.0     0.0
           ssd140.t          0     0.0       7      96     0.0     0.0
           ssd141.t          0     0.0       0       0     0.0     0.0
           ssd141.t          0     0.0       0       0     0.0     0.0
           nfs90             0     0.0       0       0     0.0     0.0
           nfs91             0     0.0       0       0     0.0     0.0
           nfs92             0     0.0       0       0     0.0     0.0
           nfs93             0     0.0       0       0     0.0     0.0
           nfs94             0     0.0       0       0     0.0     0.0
           nfs95             0     0.0       0       0     0.0     0.0
           nfs96             0     0.0       0       0     0.0     0.0
           nfs97             0     0.0       0       0     0.0     0.0
           sd3               0     0.0       0       0     0.0     0.1
           sd3,a             0     0.0       0       0     0.0     0.1
           sd3,h             0     0.0       0       0     0.0     0.0
           sd4               0     0.0       0       0     0.0     0.0
           sd4,a             0     0.0       0       0     0.0     0.0
           sd4,h             0     0.0       0       0     0.0     0.0
           sd5               0     0.0       0       0     0.0     0.0
           sd5,a             0     0.0       0       0     0.0     0.0
           sd5,h             0     0.0       0       0     0.0     0.0
           sd6               0     0.0       0       0     0.0     0.0
           sd6,a             0     0.0       0       0     0.0     0.0
           sd6,h             0     0.0       0       0     0.0     0.0
           sd7               0     0.0       0       0     0.0     0.0
           sd7,a             0     0.0       0       0     0.0     0.0
           sd7,h             0     0.0       0       0     0.0     0.0
           sd8               0     0.0       0       0     0.0     0.0
           sd8,a             0     0.0       0       0     0.0     0.0
           sd8,h             0     0.0       0       0     0.0     0.0
           sd9               0     0.0       0       0     0.0     0.0
           ssd135            8     0.4      15     542     0.0    29.8
           ssd135,a          8     0.4      15     542     0.0    29.8
           ssd135,h          0     0.0       0       0     0.0     0.0
           ssd136            0     0.0      23     522     0.0     0.6
           ssd136,a          0     0.0      23     522     0.0     0.6
           ssd136,h          0     0.0       0       0     0.0     0.0
           ssd137            0     0.0      30    1047     0.0     0.7
           ssd137,a          0     0.0      30    1047     0.0     0.7
           ssd137,h          0     0.0       0       0     0.0     0.0
           ssd138            0     0.0      15     362     0.0     0.9
           ssd138,a          0     0.0      15     362     0.0     0.9
           ssd138,h          0     0.0       0       0     0.0     0.0
           ssd139            0     0.0      26    1028     0.0     0.7
           ssd139,a          0     0.0      26    1028     0.0     0.7
           ssd139,h          0     0.0       0       0     0.0     0.0
           ssd140            0     0.0      15     147     0.0     0.6
           ssd140,a          0     0.0      15     147     0.0     0.6
           ssd140,h          0     0.0       0       0     0.0     0.0
           ssd141            0     0.0       0       0     0.0     0.0
           ssd141,a          0     0.0       0       0     0.0     0.0
           ssd141,h          0     0.0       0       0     0.0     0.0
           xhci0,bu          0     0.0       0       0     0.0     0.0
           xhci0,ct          0     0.0       0       0     0.0     0.0
           xhci0,in          0     0.0       0       0     0.0     0.0
           xhci0,is          0     0.0       0       0     0.0     0.0
           xhci0,to          0     0.0       0       0     0.0     0.0

09:12:30   fp0               1     0.0      14      98     0.0     1.6
           fp1               1     0.0      14     213     0.0     1.8
           iscsi0            0     0.0       0       0     0.0     0.0
           mpt_sas1          0     0.0       0       0     0.0     0.0
           mpt_sas2          3     0.1      27     836     0.0     3.5
           mpt_sas3          2     0.1      27     836     0.0     3.6
           mpt_sas4          0     0.0       0       0     0.0     0.0
           mpt_sas5          0     0.0       0       0     0.0     0.0
           mpt_sas6          0     0.0       0       0     0.0     0.0
           mpt_sas7          0     0.0       0       0     0.0     0.0
           mpt_sas8          0     0.0       0       0     0.0     0.0
           mpt_sas9          0     0.0       0       0     0.0     0.3
           scsi_vhc          0     0.0       0       0     0.0     0.0
           sd3.t1.m          0     0.0      27     836     0.0     0.0
           sd4.t2.m          0     0.0      27     836     0.0     0.0
           sd5.t4.m          0     0.0       0       0     0.0     0.0
           sd6.t3.m          0     0.0       0       0     0.0     0.0
           sd7.t9.m          0     0.0       0       0     0.0     0.0
           sd8.t10.          0     0.0       0       0     0.0     0.0
           ssd135.t          0     0.0       7      52     0.0     0.0
           ssd135.t          0     0.0       8     103     0.0     0.0
           ssd136.t          0     0.0       7      43     0.0     0.0
           ssd136.t          0     0.0       7     107     0.0     0.0
           ssd137.t          0     0.0       0       0     0.0     0.0
           ssd137.t          0     0.0       0       0     0.0     0.0
           ssd138.t          0     0.0       0       3     0.0     0.0
           ssd138.t          0     0.0       0       0     0.0     0.0
